[2026-04-06 13:01:10] FILE: 62_VI_THUOC_BONG | ID: VI_THUOC_BONG | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:04:27] FILE: 67_VI_THUOC_RAU_NGOT | ID: VI_THUOC_RAU_NGOT | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:18:25] FILE: 90_VI_THUOC_CHI_THIEN | ID: VI_THUOC_CHI_THIEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:21:01] FILE: 94_VI_THUOC_HA_KHO_THAO | ID: VI_THUOC_HA_KHO_THAO | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:23:54] FILE: 99_VI_THUOC_MA_TIEN_THAO | ID: VI_THUOC_MA_TIEN_THAO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:25:30] FILE: 101_VI_THUOC_SAI_DAT | ID: VI_THUOC_SAI_DAT | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:29:27] FILE: 108_VI_THUOC_BO_CU_VE | ID: VI_THUOC_BO_CU_VE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:32:13] FILE: 112_VI_THUOC_CHO_DE_RANG_CUA | ID: VI_THUOC_CHO_DE_RANG_CUA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:35:21] FILE: 115_VI_THUOC_KE_HOA_VANG | ID: VI_THUOC_KE_HOA_VANG | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:39:47] FILE: 122_VI_THUOC_NIET_GIO | ID: VI_THUOC_NIET_GIO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:42:23] FILE: 126_VI_THUOC_RAU_MA_NGO | ID: VI_THUOC_RAU_MA_NGO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 13:50:59] FILE: 141_VI_THUOC_DAI_PHONG_TU | ID: VI_THUOC_DAI_PHONG_TU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:03:50] FILE: 163_VI_THUOC_VAN_NIEN_THANH | ID: VI_THUOC_VAN_NIEN_THANH | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:05:50] FILE: 166_VI_THUOC_CA_CHUA | ID: VI_THUOC_CA_CHUA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:07:32] FILE: 168_VI_THUOC_DAU_GIUN | ID: VI_THUOC_DAU_GIUN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:10:47] FILE: 176_VI_THUOC_XOAN | ID: VI_THUOC_XOAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:21:38] FILE: 203_VI_THUOC_VO_LUU | ID: VI_THUOC_VO_LUU | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:24:43] FILE: 208_VI_THUOC_HOANG_DANG | ID: VI_THUOC_HOANG_DANG | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:28:55] FILE: 214_VI_THUOC_CO_SUA_NHO_LA | ID: VI_THUOC_CO_SUA_NHO_LA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:38:01] FILE: 226_VI_THUOC_GUNG_DAI | ID: VI_THUOC_GUNG_DAI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:39:42] FILE: 230_VI_THUOC_MA_DE | ID: VI_THUOC_MA_DE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:49:07] FILE: 242_VI_THUOC_NGHE | ID: VI_THUOC_NGHE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:54:41] FILE: 253_VI_THUOC_CO_BO | ID: VI_THUOC_CO_BO | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:55:49] FILE: 254_VI_THUOC_DAU_DEN | ID: VI_THUOC_DAU_DEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:57:42] FILE: 257_VI_THUOC_MOC_TAC | ID: VI_THUOC_MOC_TAC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 14:59:43] FILE: 261_VI_THUOC_SOI | ID: VI_THUOC_SOI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:01:57] FILE: 265_VI_THUOC_LUOI_RAN | ID: VI_THUOC_LUOI_RAN | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:02:28] FILE: 266_VI_THUOC_DAY_CHAC_CHIU | ID: VI_THUOC_DAY_CHAC_CHIU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:04:13] FILE: 267_VI_THUOC_THONG_BONG | ID: VI_THUOC_THONG_BONG | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:12:30] FILE: 279_VI_THUOC_GANG | ID: VI_THUOC_GANG | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:15:38] FILE: 283_VI_THUOC_RAU_OM | ID: VI_THUOC_RAU_OM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-06 15:20:42] FILE: 290_VI_THUOC_MUI_TAY | ID: VI_THUOC_MUI_TAY | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
