user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
Bệnh bang có thể dùng vị thuốc hoặc bài thuốc nào để chữa?,"['[{""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Sim"", ""LieuDung"": ""Quả sim tươi hoặc khô $12-20g$"", ""CachDung"": ""Sắc uống"", ""GhiChu"": ""Sản hậu""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Củ nâu"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""CT_VT_VN_T456""}, {""ChuThe"": ""Kinh Túc thái dương bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Khiên ngưu"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Không ghi rõ"", ""GhiChu"": ""CT_VT_VN_T460""}, {""ChuThe"": ""Bệnh Nóng trong bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Dưa hấu"", ""LieuDung"": ""Vỏ quả giữa hay vỏ quả ngoài (tây qua bì) $10-40g$"", ""CachDung"": ""Sắc với nửa lít nước, đun sôi $15$ phút, uống thay nước trong ngày"", ""GhiChu"": ""CT_VT_VN_T946""}, {""ChuThe"": ""Triệu chứng Băng lậu"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Lộc nhung (mã nhung)"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Tham khảo cách dùng chung của vị thuốc"", ""GhiChu"": ""Mọi trường hợp hư tổn trong cơ thể, nam giới hư hao, tinh kém, hoa mắt, hoạt tinh; nữ giới bàng lậu, đới hạ""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc A giao (Minh giao)"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": """"}, {""ChuThe"": ""Bệnh Băng lậu"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc A giao (Minh giao)"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": """"}, {""ChuThe"": ""Bệnh Băng trung"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Mộc tặc"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""Mắt đau chảy nước mắt, trĩ, huyết lỵ, băng trung | Mộc tặc | Chỉ định lâm sàng theo kinh nghiệm | [Nguồn]: CT_VT_VN_T258""}, {""ChuThe"": ""Bệnh Viêm bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Thạch vĩ"", ""LieuDung"": ""$6-12g$ mỗi ngày"", ""CachDung"": ""Sắc uống"", ""GhiChu"": ""CT_VT_VN_T265""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Mẫu lệ"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Dùng ngoài để chữa mụn nhọt, lở loét."", ""GhiChu"": ""Chỉ định lâm sàng theo kinh nghiệm | [Nguồn]: CT_VT_VN_T501, Vỏ hầu | Dùng ngoài để chữa mụn nhọt, lở loét. Chỉ định lâm sàng theo kinh nghiệm | [Nguồn]: CT_VT_VN_T501, Đau dạ dày thừa nước chua, bồi bổ cơ thể suy nhược, mồ hôi trộm, băng huyết | Vỏ hầu | Dùng ngoài để chữa mụn nhọt, lở loét. Chỉ định lâm sàng theo kinh nghiệm | [Nguồn]: CT_VT_VN_T501, Thuốc bổ, chữa bệnh có nhiều mồ hôi | Mẫu lệ $10g$, hoàng kỳ $4g$, ma hoàng căn $4g$, cám $10g$ | Sắc với nước $600ml$ còn $200ml$, chia làm nhiều lần uống trong ngày | [Nguồn]: CT_VT_VN_T501, Thuốc chữa khí hư, bạch đới | Hoa hoè $40g$, mẫu lệ (nung rồi tán nhỏ) $40g$ | Chỉ định lâm sàng (không ghi rõ liều) | [Nguồn]: CT_VT_VN_T501, Mụn nhọt mới sưng, chưa thành mủ | Phấn mẫu lệ | Hoà nước mà bôi, khô lại bởi | [Nguồn]: CT_VT_VN_T502""}, {""ChuThe"": ""Bệnh Tích bụng bằng"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Cói"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""CT_VT_VN_T271""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Quy bản và Cao quy bản"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""[Nguồn]: CT_VT_VN_T1018""}, {""ChuThe"": ""Bệnh Băng lậu"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Quy bản và Cao quy bản"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""[Nguồn]: CT_VT_VN_T1018""}, {""ChuThe"": ""Bệnh Viêm bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Rau dừa nước"", ""LieuDung"": ""$100g$ khô"", ""CachDung"": ""Sắc uống liên tục từ 5 đến 10 ngày"", ""GhiChu"": ""không do sỏi, lao bàng quang, lao thận. CT_VT_VN_T274""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Tàm sa"", ""LieuDung"": ""$15$g"", ""CachDung"": ""Uống mỗi ngày, có thể dùng rượu chiêu thuốc"", ""GhiChu"": ""Tầm sa sao vàng tán nhỏ""}, {""ChuThe"": ""Bệnh Bang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Sài đất"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""CT_VT_VN_T102"", ""sort_weight"": 3.0}, {""ChuThe"": ""Bệnh Viêm bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Sài đất"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""CT_VT_VN_T102""}, {""ChuThe"": ""Bệnh Bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Kim tiền thảo"", ""LieuDung"": ""$10-30g$"", ""CachDung"": ""Dạng thuốc sắc. Dùng riêng hay phối hợp với nhiều vị thuốc khác"", ""GhiChu"": ""[Nguồn]: CT_VT_VN_T283""}, {""ChuThe"": ""Bệnh Sỏi bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Lá tiết dê"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""CT_VT_VN_T288""}, {""ChuThe"": ""Bệnh Viêm bàng quang"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Lá tiết dê"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""CT_VT_VN_T288""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Huyết dụ"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Lá cây huyết dụ"", ""GhiChu"": ""sau khi đẻ vì rò tử cung hoặc trong những trường hợp nhau tiền đạo, thai và nhau ra rồi còn băng huyết | Chỉ định lâm sàng theo kinh nghiệm | [Nguồn]: CT_VT_VN_T302""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Nhàu"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Ăn với muối"", ""GhiChu"": ""Quả nhàu""}, {""ChuThe"": ""Triệu chứng Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Trúc như"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Tẩm nước gừng sao"", ""GhiChu"": ""Sốt, buồn bực, nôn mửa, nôn ra máu, chảy máu cam, băng huyết""}, {""ChuThe"": ""Triệu chứng Báng bụng"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Xạ can"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Giã nhỏ, vắt lấy nước uống, hễ thấy lợi tiểu tiện thì thôi"", ""GhiChu"": """"}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Đơn trăng (Hé mọ)"", ""LieuDung"": ""$10-20g$"", ""CachDung"": ""Dùng dưới dạng thuốc sắc hay giã nát, đắp"", ""GhiChu"": ""[Nguồn]: CT_VT_VN_T220""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Phục long can"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Không rõ"", ""GhiChu"": ""CT_VT_VN_T1063""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Vị thuốc"", ""LieuDung"": ""7 quả"", ""CachDung"": ""Thiêu tồn tính, tán nhỏ, chia làm ba lần uống trong ngày. Dùng nước cơm để chiêu thuốc"", ""GhiChu"": """"}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Đu đủ"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Rễ đu đủ sắc uống"", ""GhiChu"": ""Người""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Dâu"", ""LieuDung"": ""Tang bạch bì $6-18g$"", ""CachDung"": ""Dưới dạng thuốc sắc hay thuốc bột"", ""GhiChu"": ""CT_VT_VN_T739""}, {""ChuThe"": ""Bệnh Băng huyết"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Mướp"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Uống"", ""GhiChu"": ""Xơ mướp đốt tồn tính""}]']","Dựa trên y văn, **Sài đất** có thể được dùng để chữa bệnh bang. Liều dùng và cách dùng của vị thuốc này nên được chỉ định lâm sàng theo kinh nghiệm.

**Thông tin tham khảo thêm:**

*   **Kim tiền thảo**: Có thể dùng để chữa bệnh bàng quang với liều dùng 10-30g dưới dạng thuốc sắc, dùng riêng hoặc phối hợp với nhiều vị thuốc khác.
*   **Lá tiết dê**: Có thể dùng để chữa bệnh sỏi bàng quang và viêm bàng quang. Liều dùng và cách dùng của vị thuốc này cần tham khảo liều dùng chung.
*   **Rau dừa nước**: Có thể dùng để chữa bệnh viêm bàng quang (không do sỏi, lao bàng quang, lao thận) với liều dùng 100g khô, sắc uống liên tục từ 5 đến 10 ngày.
*   **Sài đất**: Có thể dùng để chữa bệnh viêm bàng quang. Liều dùng và cách dùng của vị thuốc này nên được chỉ định lâm sàng theo kinh nghiệm.
*   **Thạch vĩ**: Có thể dùng để chữa bệnh viêm bàng quang với liều dùng 6-12g mỗi ngày, sắc uống.
*   **Dưa hấu**: Vỏ quả giữa hay vỏ quả ngoài (tây qua bì) có thể dùng để chữa bệnh nóng trong bàng quang với liều dùng 10-40g, sắc với nửa lít nước, đun sôi 15 phút, uống thay nước trong ngày.
*   **Cói**: Có thể dùng để chữa bệnh tích bụng bằng. Liều dùng và cách dùng của vị thuốc này nên được chỉ định lâm sàng theo kinh nghiệm.","Bỏng Xương rồng, Sài đất",1.0,0.45201444711556577,0.9999999999,0.0,0.36733111562970017
"Để chữa bệnh thủy đậu, vị thuốc bách thảo sương được dùng với liều lượng và cách thức như thế nào?","['[{""ChuThe"": ""Vị thuốc Bách thảo sương"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Thủy đậu"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Trộn với mỡ lợn bôi vào nơi chốc đã rửa sạch."", ""GhiChu"": ""[Nguồn]: CT_VT_VN_T308"", ""sort_weight"": 3.0}]']","Để chữa bệnh thủy đậu, **Bách thảo sương** được dùng như sau:

*   **Liều dùng:** Chưa ghi nhận.
*   **Cách dùng:** Trộn với mỡ lợn bôi vào nơi chốc đã rửa sạch.","Để chữa bệnh thủy đậu, vị thuốc bách thảo sương có liều dùng: Theo chỉ định và cách dùng: Trộn với mỡ lợn bôi vào nơi chốc đã rửa sạch.",1.0,0.0,0.9999999999,1.0,0.4554050765256147
Vị thuốc gừng tươi có chứa hoạt chất cnidium không?,['Không có dữ liệu'],"Không. Dựa trên dữ liệu y văn hiện tại, không có ghi nhận nào cho thấy gừng tươi có liên quan hoặc tác dụng tới cnidium.","Không, vị thuốc gừng tươi không chứa hoạt chất cnidium",0.0,0.8456259768106998,0.0,0.0,0.7413851424653322
Thuốc nào vừa có tính ôn vừa trực tiếp chữa bệnh lở loét?,"['[{""ChuThe"": ""Vị thuốc Ké đầu ngựa"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Bệnh Lở loét"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Tía tô dại"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Bệnh Lở loét"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Sâm cau"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Bệnh Lở loét"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Dã Vôi"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Bệnh Lở loét"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Hoàng kỳ"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Bệnh Lo loét mạn tính"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}]']","Hệ thống y văn hiện tại ghi nhận các vị thuốc có tính ôn và có tác dụng với bệnh lở loét như sau:

*   **Ké đầu ngựa**
*   **Tía tô dại**
*   **Sâm cau**
*   **Dã Vôi**

Lưu ý: Liều dùng và cách dùng của các vị thuốc trên chưa được ghi nhận.

Thông tin tham khảo thêm:

*   Đối với bệnh lở loét mạn tính, có thể tham khảo vị thuốc **Hoàng kỳ**. Liều dùng và cách dùng của vị thuốc này chưa được ghi nhận.","Dã Vôi, Ké đầu ngựa, Sâm cau, Tía tô dại",1.0,0.44784315004670683,0.9999999999,1.0,0.5102458023923623
Thuốc nào vừa có tính ôn vừa trực tiếp chữa bệnh ho có đờm?,['Không có dữ liệu'],Hệ thống y văn hiện tại chưa ghi nhận dữ liệu về vấn đề này.,"Dâu, Tắc kè",1.0,0.0,0.0,0.0,0.2287710198942301
Vị thuốc trám có công năng gì?,"['[{""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_VI"", ""DoiTuong"": ""Vị ngọt"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_VI"", ""DoiTuong"": ""Vị chua"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_TINH"", ""DoiTuong"": ""Bình"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""QUY_KINH"", ""DoiTuong"": ""Phe"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CHUA_HOAT_CHAT"", ""DoiTuong"": ""Pinen"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""Không tìm thấy""}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CHUA_HOAT_CHAT"", ""DoiTuong"": ""Sabinen"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""Không tìm thấy""}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CHUA_HOAT_CHAT"", ""DoiTuong"": ""Hoạt chất Tecpineol"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""Không tìm thấy""}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CHUA_HOAT_CHAT"", ""DoiTuong"": ""Hoạt chất Tecpinen"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""Không tìm thấy""}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Ngộ độc"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Không ghi"", ""GhiChu"": ""Giải độc, say rượu, nọc cá độc, nọc con dải""}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Hóc xương cá"", ""LieuDung"": ""5 quả"", ""CachDung"": ""Ngậm quả trám, nuốt lấy nước. Hoặc sắc 5 quả trám, lấy nước cho ngậm và nuốt"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Ngộ độc do ăn cá độc"", ""LieuDung"": ""3 quả"", ""CachDung"": ""Sắc lấy nước uống"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CHU_TRI_TRIEU_CHUNG"", ""DoiTuong"": ""Triệu chứng yết hầu sưng đau"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Không ghi"", ""GhiChu"": ""Họ nhiều đờm""}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Cổ họng sưng đau"", ""LieuDung"": ""Ngày dùng 2-3 lần, mỗi lần $2-3g$"", ""CachDung"": ""Thêm nước nấu đặc thành cao lỏng, sau thêm phèn chua cô đặc lại lần nữa"", ""GhiChu"": """", ""sort_weight"": 3.0}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Lợi yết hầu"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Sinh tân chỉ khát"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Không độc"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}, {""ChuThe"": ""Vị thuốc Trám"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Giải độc"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}]']","**Vị thuốc Trám** có các công năng sau:

*   Cổ họng sưng đau: Ngày dùng 2-3 lần, mỗi lần 2-3g. Thêm nước nấu đặc thành cao lỏng, sau thêm phèn chua cô đặc lại lần nữa.
*   Lợi yết hầu
*   Sinh tân chỉ khát
*   Không độc
*   Giải độc","Cổ họng sưng đau, Giải độc, Không độc, Lợi yết hầu, Sinh tân chỉ khát",1.0,0.5013527928612147,0.9999999999,1.0,0.7538523286533987
"Để chữa bệnh trẻ con đau mắt, vị thuốc dâu được dùng với liều lượng và cách thức như thế nào?",['Không có dữ liệu'],Hệ thống y văn hiện tại chưa ghi nhận dữ liệu về vấn đề này.,"Để chữa bệnh trẻ con đau mắt, vị thuốc dâu có liều dùng: Tham khảo liều dùng chung của vị thuốc và cách dùng: Cả con sâu nướng ăn hoặc ngâm rượu",1.0,0.0,0.0,0.0,0.22363721701773942
"Để chữa bệnh ho, vị thuốc ho khan, thở hổn hển lâu ngày mạch môn đông được dùng với liều lượng và cách thức như thế nào?",['Không có dữ liệu'],Hệ thống y văn hiện tại chưa ghi nhận dữ liệu về vấn đề này.,"Để chữa bệnh ho, vị thuốc ho khan, thở hổn hển lâu ngày mạch môn đông có liều dùng: Theo chỉ định và cách dùng: Nước 600ml. Sắc còn 200ml. Chia làm 3 lần uống trong ngày",1.0,0.0,0.0,0.0,0.20122660114695745
Vị thuốc rượu tà có chứa hoạt chất saponozit không?,['Không có dữ liệu'],"Không. Dựa trên dữ liệu y văn hiện tại, không có ghi nhận nào cho thấy rượu tà có liên quan hoặc tác dụng tới saponozit.","Không, vị thuốc rượu tà không chứa hoạt chất saponozit",0.0,0.7862752632131532,0.0,1.0,0.8445334443962501
Thuốc nào vừa có tính bình vừa trực tiếp chữa bệnh rắn độc cắn?,"['[{""ChuThe"": ""Vị thuốc Bảy lá một hoa"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Bình và Bệnh Rắn độc cắn"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Bán"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Bình và Bệnh Rắn độc cắn"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}]']","Hệ thống y văn hiện tại ghi nhận các vị thuốc có tính bình và được dùng để chữa trị rắn độc cắn như sau:

**Thông tin tham khảo thêm:**

*   **Vị thuốc Bảy lá một hoa**: Thỏa mãn đồng thời tính bình và chữa bệnh rắn độc cắn. Liều dùng và cách dùng chưa được ghi nhận.
*   **Vị thuốc Bán**: Thỏa mãn đồng thời tính bình và chữa bệnh rắn độc cắn. Liều dùng và cách dùng chưa được ghi nhận.","Bán, Bảy lá một hoa",0.4,0.42918298282062906,0.9999999999,1.0,0.64117119061737
